id,outliers
242,3.4
243,7.6
244,11.0
245,5.6
246,3.6
247,3.2
248,4.6
249,15.2
250,3.0
251,18.6
252,4.6
253,5.6
254,4.6
255,7.8
256,7.8
257,9.2
258,8.8
259,1.8
260,9.6
261,6.2
262,6.6
263,5.6
264,12.6
265,17.8
266,11.0
267,5.4
268,6.0
269,2.2
270,5.6
271,7.4
272,5.2
273,0.2
274,10.0
275,6.6
276,8.6
277,1.2
278,7.0
279,0.6
280,13.2
281,2.8
282,4.8
283,7.8
284,7.8
285,8.0
286,7.6
287,7.8
288,5.2
289,0.6
290,15.6
291,0.8
292,5.0
293,7.8
294,11.2
295,6.2
296,11.0
297,7.8
298,6.6
299,10.0
300,3.4
301,5.2
302,10.8
303,2.2
304,1.6
305,1.6
306,9.6
307,8.2
308,1.6
309,9.0
310,14.8
311,17.4
312,8.6
313,0.8
314,11.2
315,4.6
316,1.6
317,4.6
318,6.0
319,5.0
320,3.6
321,3.6
322,8.6
323,1.6
324,1.6
325,2.6
326,2.0
327,4.6
328,1.6
329,8.0
330,8.4
331,9.0
332,11.4
333,12.2
334,3.0
335,7.2
336,0.6
337,12.6
338,1.8
339,8.2
340,12.6
341,1.6
342,3.2
343,4.2
344,3.2
345,4.8
346,7.2
347,2.2
348,5.8
349,3.4
350,3.0
351,0.4
352,5.6
353,11.4
354,10.4
355,7.2
356,1.4
357,9.8
358,5.4
359,0.2
360,7.6
361,3.6
362,4.4
363,3.2
364,2.6
365,8.8
366,15.2
367,3.6
368,5.2
369,0.2
370,13.8
371,2.4
372,1.4
373,15.2
374,1.8
375,3.6
376,6.8
377,8.2
378,12.0
379,4.4
380,4.0
381,3.2
382,0.4
383,8.2
384,3.2
385,11.8
386,1.8
387,2.0
388,4.6
389,6.6
390,11.8
391,3.8
392,2.2
393,0.8
394,4.6
395,7.4
396,1.2
397,2.8
398,7.6
399,2.4
400,10.4
401,3.2
402,9.6
403,5.2
404,10.8
405,8.6
406,4.8
407,6.4
408,23.6
409,7.8
410,7.6
411,0.2
412,0.6
413,10.4
414,3.2
415,4.4
416,3.4
417,3.0
418,2.0
419,6.4
420,10.4
421,8.4
422,7.0
423,8.2
424,1.0
425,11.2
426,6.8
427,3.6
428,3.8
429,4.2
430,12.2
431,1.8
432,3.6
433,12.2
434,2.0
435,3.2
436,1.4
437,2.4
438,9.6
439,11.4
440,5.8
441,1.0
442,10.0
443,2.6
444,3.6
445,15.8
446,16.2
447,1.4
448,3.8
449,12.0
450,6.0
451,9.0
452,3.8
453,9.8
454,1.2
455,1.6
456,13.6
457,3.8
458,2.0
459,6.0
460,11.6
461,3.2
462,3.0
463,1.4
464,8.6
465,2.8
466,12.8
467,7.6
468,8.4
469,9.4
470,7.6
471,8.4
472,5.2
473,1.8
474,5.4
475,14.0
476,0.6
477,2.6
478,3.0
479,6.2
480,2.6
481,11.4
482,4.0
483,4.0
484,5.8
485,10.8
486,2.6
487,4.0
488,11.8
489,9.8
490,8.0
491,5.8
492,6.2
493,8.4
494,0.0
495,9.8
496,4.0
497,2.8
498,9.6
499,3.6
500,13.2
501,2.0
502,13.8
503,8.0
504,2.0
505,7.0
506,3.2
507,10.4
508,11.0
509,3.0
510,3.6
511,1.4
512,5.2
513,2.4
514,0.0
515,8.0
516,15.8
517,7.6
518,1.6
519,8.6
520,5.4
521,1.8
522,2.0
523,9.8
524,4.6
525,7.0
526,0.8
527,7.8
528,3.4
529,0.6
530,12.2
531,12.0
532,0.2
533,6.4
534,3.0
535,11.4
536,3.2
537,4.6
538,1.4
539,1.8
540,15.4
541,7.2
542,28.8
543,5.8
544,7.2
545,4.6
546,2.4
547,7.8
548,3.0
549,9.4
550,9.8
551,5.2
552,3.8
553,2.6
554,11.4
555,9.6
556,6.8
557,1.0
558,6.2
559,4.4
560,6.6
561,6.4
562,12.8
563,0.2
564,6.6
565,11.0
566,8.8
567,3.0
568,5.8
569,11.2
570,1.0
571,4.4
572,1.4
573,9.0
574,1.4
575,3.8
576,3.0
577,12.4
578,8.8
579,6.0
580,7.2
581,2.8
582,10.0
583,14.6
584,10.6
585,3.2
586,8.6
587,0.0
588,1.6
589,3.4
590,6.4
591,2.8
592,5.0
593,11.2
594,11.6
595,5.6
596,5.0
597,0.4
598,2.8
599,7.4
600,9.0
601,12.8
602,1.4
603,14.6
604,11.2
605,8.0
606,7.0
607,11.6
608,1.2
609,0.0
610,4.0
611,1.6
612,4.2
613,13.6
614,8.6
615,4.6
616,9.0
617,6.4
618,13.4
619,5.4
620,5.2
621,15.2
622,7.4
623,2.4
624,5.8
625,2.2
626,13.4
627,7.6
628,12.8
629,2.8
630,12.0
631,3.6
632,21.6
633,1.2
634,7.4
635,1.8
636,9.4
637,11.2
638,7.4
639,4.4
640,11.6
641,1.8
642,4.2
643,3.8
644,7.4
645,3.4
646,6.0
647,7.2
648,8.2
649,2.6
650,7.0
651,2.0
652,7.0
653,14.2
654,3.4
655,12.6
656,9.0
657,12.6
658,10.0
659,3.6
660,2.0
661,12.2
662,0.0
663,9.4
664,4.2
665,1.8
666,6.2
667,11.6
668,9.2
669,11.6
670,6.2
671,3.0
672,4.8
673,11.6
674,9.2
675,8.0
676,5.6
677,2.4
678,8.6
679,6.8
680,10.2
681,8.6
682,10.6
683,2.6
684,7.8
685,15.0
686,9.0
687,6.2
688,6.8
689,6.4
690,3.0
691,3.6
692,8.0
693,0.8
694,4.8
695,8.0
696,0.4
697,2.4
698,5.4
699,2.6
700,3.4
701,2.2
702,2.0
703,4.4
704,9.8
705,6.0
706,3.0
707,3.6
708,5.2
709,2.2
710,8.0
711,5.4
712,9.4
713,6.4
714,7.4
715,4.0
716,3.2
717,9.0
718,1.6
719,10.0
720,4.2
721,14.2
722,13.0
723,4.0
724,11.6
725,3.0
726,8.4
727,3.0
728,0.0
729,3.2
730,6.6
731,5.6
732,8.8
733,7.6
734,5.2
735,9.2
736,4.0
737,2.6
738,0.4
739,0.0
740,5.0
741,3.6
742,7.0
743,7.2
744,9.4
745,2.0
746,0.8
747,9.8
748,7.0
749,7.4
750,16.8
751,6.4
752,6.2
753,12.0
754,13.0
755,4.0
756,7.2
757,10.6
758,9.6
759,9.8
760,9.0
761,17.4
762,10.8
763,9.8
764,9.4
765,12.6
766,1.4
767,0.4
768,5.0
769,0.8
770,0.8
771,9.2
772,3.8
773,1.2
774,2.6
775,2.8
776,6.8
777,2.8
778,3.0
779,5.0
780,9.6
781,4.6
782,10.8
783,9.6
784,2.0
785,4.8
786,2.4
787,3.2
788,1.4
789,6.2
790,11.2
791,1.6
792,12.4
793,0.6
794,4.2
795,2.0
796,3.4
797,3.2
798,4.6
799,1.6
800,2.0
801,5.8
802,11.0
803,10.2
804,5.2
805,8.6
806,5.4
807,10.2
808,0.8
809,8.4
810,4.8
811,12.8
812,2.4
813,6.4
814,4.6
815,17.0
816,3.8
817,6.4
818,7.4
819,2.6
820,4.8
821,5.2
822,1.4
823,7.0
824,11.0
825,4.8
826,3.2
827,4.8
828,8.4
829,3.0
830,9.4
831,0.8
832,9.2
833,13.8
834,4.6
835,7.8
836,11.4
837,9.0
838,4.2
839,4.4
840,6.8
841,12.8
842,1.6
843,6.0
844,4.2
845,13.0
846,3.0
847,8.8
848,1.6
849,5.4
850,6.4
851,4.8
852,3.2
853,0.4
854,1.4
855,7.2
856,3.6
857,6.0
858,17.4
859,9.2
860,1.2
861,2.2
862,6.8
863,15.0
864,3.8
865,12.0
866,2.6
867,0.6
868,5.4
869,5.6
870,2.6
871,0.0
872,4.0
873,12.4
874,0.8
875,14.2
876,7.8
877,0.2
878,1.6
879,5.4
880,1.2
881,6.4
882,6.2
883,14.2
884,12.4
885,6.6
886,3.2
887,3.8
888,2.2
889,7.0
890,6.6
891,14.6
892,13.2
893,1.8
894,14.4
895,7.8
896,7.4
897,1.8
898,11.2
899,1.0
900,7.0
901,0.8
902,7.4
903,3.0
904,0.4
905,1.6
906,14.2
907,0.4
908,9.6
909,5.8
910,14.0
911,6.2
912,3.0
913,5.6
914,16.0
915,1.6
916,6.0
917,0.8
918,4.2
919,0.0
920,0.6
921,9.2
922,8.8
923,5.0
924,3.2
925,12.4
926,5.0
927,0.8
928,2.4
929,13.8
930,6.6
931,5.8
932,8.0
933,3.8
934,13.8
935,8.6
936,4.2
937,8.4
938,3.2
939,3.6
940,6.2
941,8.0
942,7.8
943,18.4
944,0.8
945,1.2
946,9.6
947,5.0
948,2.8
949,9.8
950,11.6
951,0.0
952,5.2
953,5.2
954,6.8
955,2.2
956,12.2
957,5.0
958,13.4
959,0.8
960,5.0
961,10.6
962,4.2
963,7.8
964,8.4
965,7.0
966,6.6
967,4.8
968,11.8
969,6.2
970,2.0
971,6.8
972,3.8
973,10.0
974,5.6
975,9.2
976,5.8
977,4.4
978,1.4
979,9.0
980,10.4
981,0.8
982,3.6
983,5.8
984,7.2
985,8.2
986,7.0
987,5.6
988,6.8
989,1.4
990,13.8
991,3.4
992,1.8
993,7.2
994,9.4
995,5.6
996,3.8
997,18.0
998,8.2
999,6.4
